vereador,faltas,faltas_abonadas,total_de_faltas,ano,nome_mes,mes
Professor Adalmir,0,0,0,2017,abril,4
Rafael Aloisio Freitas,0,0,0,2017,abril,4
Reimont,0,0,0,2017,abril,4
Renato Cinco,0,0,0,2017,abril,4
Renato Moura,0,0,0,2017,abril,4
Rocal,1,0,1,2017,abril,4
Rosa Fernandes,1,0,1,2017,abril,4
Tânia Bastos,1,0,1,2017,abril,4
Tarcísio Motta,0,0,0,2017,abril,4
Thiago K. Ribeiro,0,0,0,2017,abril,4
Val Ceasa,0,0,0,2017,abril,4
Vera Lins,0,0,0,2017,abril,4
Veronica Costa,0,0,0,2017,abril,4
Willian Coelho,1,1,0,2017,abril,4
Zico,0,0,0,2017,abril,4
Zico Bacana,0,0,0,2017,abril,4
Alexandre Arraes,0,0,0,2017,maio,5
Alexandre Isquierdo,0,0,0,2017,maio,5
Carlo Caiado,1,1,0,2017,maio,5
Carlos Bolsonaro,1,0,1,2017,maio,5
Cesar Maia,0,0,0,2017,maio,5
Chiquinho Brazão,2,0,2,2017,maio,5
Cláudio Castro,0,0,0,2017,maio,5
David Miranda,1,0,1,2017,maio,5
Dr. Carlos Eduardo,1,1,0,2017,maio,5
Dr. Gilberto,2,0,2,2017,maio,5
Dr. Jairinho,0,0,0,2017,maio,5
Dr. João Ricardo,1,1,0,2017,maio,5
Dr. Jorge Manaia,0,0,0,2017,maio,5
Eliseu Kessler,1,0,1,2017,maio,5
Felipe Michel,1,0,1,2017,maio,5
Fernando William,0,0,0,2017,maio,5
Inaldo Silva,0,0,0,2017,maio,5
Italo Ciba,1,0,1,2017,maio,5
Jair da Mendes Gomes,1,0,1,2017,maio,5
João Mendes de Jesus,1,0,1,2017,maio,5
Jones Moura,1,1,0,2017,maio,5
Jorge Felippe,2,2,0,2017,maio,5
Junior da Lucinha,0,0,0,2017,maio,5
Leandro Lyra,0,0,0,2017,maio,5
Leonel Brizola,1,0,1,2017,maio,5
Luciana Novaes,2,1,1,2017,maio,5
Luiz Carlos Ramos Filho,1,0,1,2017,maio,5
Marcelino D Almeida,1,0,1,2017,maio,5
Marcello Siciliano,0,0,0,2017,maio,5
Marcelo Arar,1,0,1,2017,maio,5
Marielle Franco,1,0,1,2017,maio,5
Otoni de Paula,0,0,0,2017,maio,5
Paulo Messina,1,0,1,2017,maio,5
Paulo Pinheiro,1,0,1,2017,maio,5
Prof.Célio Lupparelli,0,0,0,2017,maio,5
Professor Adalmir,1,0,1,2017,maio,5
Rafael Aloisio Freitas,0,0,0,2017,maio,5
Reimont,1,0,1,2017,maio,5
Renato Cinco,0,0,0,2017,maio,5
Renato Moura,1,0,1,2017,maio,5
Rocal,3,0,3,2017,maio,5
Rosa Fernandes,0,0,0,2017,maio,5
Tânia Bastos,0,0,0,2017,maio,5
Tarcísio Motta,0,0,0,2017,maio,5
Thiago K. Ribeiro,0,0,0,2017,maio,5
Val Ceasa,0,0,0,2017,maio,5
